Source,Target,Type,Id,Label,Weight,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1,Directed,0,,2,2025-04-13,"<[2025-04-13, 2025-04-13]>",https://bsky.app/profile/punzadas.bsky.social/post/3lmotxn3duk2q,0,0,0,0,0,0,0,0,Esto es casi ya !!! ❤️,quoted,7
0,2,Directed,2,,1,2025-04-22,"<[2025-04-22, 2025-04-22]>",https://bsky.app/profile/punzadas.bsky.social/post/3lnfrw546322r,0,0,0,0,0,0,0,0,Oooops,replied_to,1
0,3,Directed,3,,5,2025-04-04,"<[2025-04-04, 2025-04-04]>",https://bsky.app/profile/punzadas.bsky.social/post/3llzdbuc5222d,0,0,0,0,0,0,0,0,con carita,quoted,9
0,4,Directed,8,,1,2025-04-16,"<[2025-04-16, 2025-04-16]>",https://bsky.app/profile/punzadas.bsky.social/post/3lmwzgs3hec2x,0,0,0,0,0,0,0,0,"AMIGAS DE VALENCIA

nos vemos prontito jeje",quoted,3
0,5,Directed,9,,2,2024-11-17,"<[2024-11-17, 2024-11-17]>",https://bsky.app/profile/punzadas.bsky.social/post/3lb6c6zesw22q,0,0,0,0,0,0,0,0,esos también son nuestros podcasts favoritos,quoted,52
0,6,Directed,11,,3,2024-11-22,"<[2024-11-22, 2024-11-22]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbjndigm2s2f,0,0,0,0,0,0,0,0,Muchas gracias!!!!!! Un abrazo ❤️🫂😊,replied_to,43
0,0,Directed,14,,8,2024-11-21,"<[2024-11-21, 2024-11-21]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbht73d5ps2h,0,0,0,0,0,0,0,0,Por aquí los libros del episodio :),replied_to,45
0,7,Directed,22,,4,2024-12-11,"<[2024-12-11, 2024-12-11]>",https://bsky.app/profile/punzadas.bsky.social/post/3lczk44xtl22z,0,0,0,0,0,0,0,0,🥹🥹🥹🫂🫂🫂,replied_to,35
0,8,Directed,26,,1,2025-03-06,"<[2025-03-06, 2025-03-06]>",https://bsky.app/profile/punzadas.bsky.social/post/3ljp46jcjes2j,0,0,0,0,0,0,0,0,Lo tenemos fichado 😊,replied_to,14
0,9,Directed,27,,2,2025-03-01,"<[2025-03-01, 2025-03-01]>",https://bsky.app/profile/punzadas.bsky.social/post/3ljdenmz2ok22,0,0,0,0,0,0,0,0,GRACIAS,quoted,16
0,10,Directed,29,,1,2025-02-20,"<[2025-02-20, 2025-02-20]>",https://bsky.app/profile/punzadas.bsky.social/post/3lin7jjlrkk2c,0,0,0,0,0,0,0,0,ENTENDIBLE,replied_to,17
0,11,Directed,30,,1,2025-02-20,"<[2025-02-20, 2025-02-20]>",https://bsky.app/profile/punzadas.bsky.social/post/3lim7fzqrls25,0,0,0,0,0,0,0,0,directamente a ti 🫂,replied_to,18
0,12,Directed,31,,3,2025-01-27,"<[2025-01-27, 2025-01-27]>",https://bsky.app/profile/punzadas.bsky.social/post/3lgq6ukhmos25,0,0,0,0,0,0,0,0,😊❤️,replied_to,24
0,13,Directed,34,,3,2025-01-01,"<[2025-01-01, 2025-01-01]>",https://bsky.app/profile/punzadas.bsky.social/post/3leo3h6uwqs2o,0,0,0,0,0,0,0,0,"Linda Lola 🫂🫂🫂🫂🫂🫂 un abrazo fuerteeeeee (sí, la segunda es la de Paula, la verdad es que no había mucho misterio jajajajaja) 🌸✨",replied_to,30
0,14,Directed,37,,1,2025-01-31,"<[2025-01-31, 2025-01-31]>",https://bsky.app/profile/punzadas.bsky.social/post/3lgzrszk4zc2i,0,0,0,0,0,0,0,0,Ayyyy un abrazo fuerte para ti y para Aisha 🥹🥹🫂🫂,replied_to,23
0,15,Directed,38,,1,2025-01-24,"<[2025-01-24, 2025-01-24]>",https://bsky.app/profile/punzadas.bsky.social/post/3lgix7hzxqk23,0,0,0,0,0,0,0,0,ZARAGOZA venid que además no se va a grabar todo lo que digamos se esfumará en el aire y solo lo escucharéis vosotras ✨🎙️,quoted,27
0,16,Directed,39,,1,2025-01-09,"<[2025-01-09, 2025-01-09]>",https://bsky.app/profile/punzadas.bsky.social/post/3lfcvp4mh6k22,0,0,0,0,0,0,0,0,Muchísimas gracias!!!!! 😊🫂,replied_to,29
0,17,Directed,40,,1,2024-12-14,"<[2024-12-14, 2024-12-14]>",https://bsky.app/profile/punzadas.bsky.social/post/3ldbze56ug225,0,0,0,0,0,0,0,0,Oh 🫂,replied_to,32
0,18,Directed,41,,1,2024-12-12,"<[2024-12-12, 2024-12-12]>",https://bsky.app/profile/punzadas.bsky.social/post/3ld46wcn4vc24,0,0,0,0,0,0,0,0,🫂🫂🫂🫂,replied_to,33
0,19,Directed,42,,1,2024-12-11,"<[2024-12-11, 2024-12-11]>",https://bsky.app/profile/punzadas.bsky.social/post/3lczk3bwbdc2z,0,0,0,0,0,0,0,0,Lo valoramos!! La Carson la mejor 💘,replied_to,36
0,20,Directed,43,,2,2024-11-17,"<[2024-11-17, 2024-11-17]>",https://bsky.app/profile/punzadas.bsky.social/post/3lb5bduafa22x,0,0,0,0,0,0,0,0,La verdad es que todo ha sido gracias a (o por culpa de) JORGE,quoted,53
0,21,Directed,45,,1,2024-12-04,"<[2024-12-04, 2024-12-04]>",https://bsky.app/profile/punzadas.bsky.social/post/3lcjbyx7vmc2j,0,0,0,0,0,0,0,0,Jajajajaja pero eso está GENIAL,replied_to,38
0,22,Directed,46,,1,2024-12-04,"<[2024-12-04, 2024-12-04]>",https://bsky.app/profile/punzadas.bsky.social/post/3lcibpi32ac2d,0,0,0,0,0,0,0,0,La cámara lúcida o Diario de duelo ❤️,replied_to,39
0,23,Directed,47,,1,2024-11-29,"<[2024-11-29, 2024-11-29]>",https://bsky.app/profile/punzadas.bsky.social/post/3lc47mdjw2k2k,0,0,0,0,0,0,0,0,Gracias 😊😊😊😊😊,replied_to,40
0,24,Directed,48,,1,2024-11-21,"<[2024-11-21, 2024-11-21]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbh7xt4wrs2t,0,0,0,0,0,0,0,0,"es un peligro que hay que correr, sí 💘",quoted,46
0,25,Directed,49,,1,2024-11-20,"<[2024-11-20, 2024-11-20]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbfxudwdqk2d,0,0,0,0,0,0,0,0,Jajajaajajaja gracias Cristina 🫂 prontito ya,replied_to,47
0,26,Directed,50,,1,2024-11-20,"<[2024-11-20, 2024-11-20]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbeu53jnuk2m,0,0,0,0,0,0,0,0,bueno y OJO a esta alegría editorial de la mano de nuestro comentarista del amor favorito 💘,quoted,48
0,27,Directed,51,,1,2024-11-18,"<[2024-11-18, 2024-11-18]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbb3klfvms2c,0,0,0,0,0,0,0,0,Claro!!! Saldrá como episodio de podcast normal :),replied_to,49
