Id,Label,timeset,0,1,2,3,4,5,6,componentnumber,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality,dynamic_indegree,dynamic_outdegree,dynamic_degree
71,eldiario.es,,1,59.08609,-56.779053,8.57647,717,0,"rgb(1,115,178)",0,718,1,719,799,1,800,9,0.318004,0.409663,4782177.330617,0.920711,0,0.02493,0,11,1,0.001597,1,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
45,carnecrudaradio.bsky.social,,3,-60.446854,86.535301,8.359574,577,14,"rgb(2,158,115)",0,578,15,593,838,70,908,9,0.317059,0.399717,3851643.223415,0.359771,0.035811,0.024023,114,2,1,0.002065,0.810783,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
30,sarariveiro.bsky.social,,2,-56.657166,203.688522,8.293419,540,110,"rgb(222,143,5)",0,541,111,652,999,355,1354,8,0.34474,0.419045,9054976.396316,0.075902,0.056267,0.029727,114,22,1,0.0021,0.942685,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
1246,elmundotoday.com,,1,-196.528412,-52.630035,7.525453,250,2,"rgb(1,115,178)",0,250,2,252,259,2,261,10,0.258859,0.310275,1365998.898873,0.049424,0.002391,0.007907,54,0,1,0.000316,0.254775,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
166,juanlusanchez.bsky.social,,6,115.416168,-40.601414,7.451038,232,53,"rgb(202,145,97)",0,233,54,287,292,70,362,10,0.255222,0.305197,1378532.845008,0.048776,0.000322,0.013216,114,3,1,0.004606,0.350833,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
140,elordenmundial.bsky.social,,7,127.47065,67.471916,7.308268,201,12,"rgb(251,175,228)",0,202,13,215,376,106,482,10,0.248175,0.292701,1142330.172461,0.022501,0,0.010783,45,8,1,0.005183,0.247459,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
847,bladeofthes.bsky.social,,9,-24.469181,274.430969,7.081404,160,0,"rgb(236,225,51)",0,160,0,160,163,0,163,9,0.241507,0.275292,1604314.350182,0.004619,0,0.006222,115,16,5,0.000354,0.165337,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
5318,mehdirhasan.bsky.social,,8,-144.916641,-98.286087,7.081404,160,0,"rgb(148,148,148)",0,160,0,160,162,0,162,10,0.185802,0.212093,1215121.223996,0.000006,0,0.006285,116,10,0,0.000275,0.1696,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
3139,xabierfortes.bsky.social,,5,-160.605682,-8.445242,7.068904,158,0,"rgb(204,120,188)",0,158,0,158,166,0,166,10,0.266582,0.308925,789620.912132,0.056852,0,0.007703,51,1,1,0.000645,0.193585,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
6251,ovni.dev,,15,195.485428,171.524414,7.049856,155,3,"rgb(204,120,188)",0,156,4,160,176,16,192,10,0.242469,0.281121,873260.729915,0.009135,0,0.007177,117,29,1,0.006617,0.182197,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
